date,word,count,used_last_year
2005,blogging,139,1
2005,before,139,1
2005,favorite,137,1
2005,getting,137,1
2005,services,134,1
2005,around,132,1
2005,pretty,131,1
2005,gotham,131,1
2005,content,131,1
2005,doesnt,127,1
2005,technology,122,1
2005,capital,122,1
2005,important,122,1
2005,morning,119,1
2005,another,118,1
2005,itunes,118,1
2005,through,116,1
2005,online,111,1
2005,anyone,107,0
2005,public,103,1
2005,investment,103,1
2005,comments,102,1
2005,believe,101,1
2005,number,99,1
2005,yesterday,99,1
2005,friend,98,1
2005,making,94,1
2005,entrepreneurs,94,0
2005,started,93,1
2005,records,92,0
2005,rhapsody,90,0
2005,someone,90,1
2005,street,90,1
2005,investors,90,0
2005,working,89,0
2005,second,87,1
2005,others,86,0
2005,almost,85,1
2005,family,84,1
2005,digital,84,1
2005,probably,82,1
2005,coming,81,1
2005,available,78,0
2005,posted,78,0
2005,listening,77,0
2005,readers,75,1
2005,tagging,75,0
2005,microsoft,73,1
2005,system,72,1
2005,square,72,0
2005,change,72,1
2005,amazon,71,0
2005,friends,71,1
2005,entrepreneur,71,0
2005,little,71,1
2005,between,71,1
2005,without,71,1
2005,advertising,71,0
2005,happen,70,0
2005,played,70,0
2005,version,70,0
2005,experience,70,1
2005,problem,69,1
2005,social,69,0
2005,management,69,0
2005,school,67,1
2005,together,67,0
2005,information,66,0
2005,months,66,0
2005,subscribe,65,0
2005,looking,65,1
2005,theres,65,1
2005,different,64,1
2005,create,64,0
2005,become,64,0
2012,business,398,1
2012,company,393,1
2012,people,275,1
2012,should,262,1
2012,companies,237,1
2012,don39t,237,1
2012,because,195,1
2012,mobile,190,1
2012,things,185,1
2012,internet,157,1
2012,something,144,1
2012,important,133,1
2012,market,130,1
2012,around,126,1
2012,everyone,123,1
2012,twitter,123,1
2012,portfolio,120,1
2012,that39s,117,1
2012,management,115,0
2012,better,115,1
2012,really,111,1
2012,capital,110,1
2012,social,109,1
2012,building,108,1
2012,product,103,1
2012,service,102,1
2012,getting,100,1
2012,working,97,1
2012,person,97,1
2012,always,96,1
2012,culture,94,0
2012,investment,94,1
2012,startup,93,1
2012,investors,93,1
2012,services,91,1
2012,community,91,1
2012,google,91,1
2012,revenue,87,0
2012,called,87,1
2012,yesterday,86,1
2012,number,81,1
2012,online,81,0
2012,public,80,1
2012,process,77,1
2012,before,77,1
2012,network,76,0
2012,recruiting,76,0
2012,school,74,0
2012,another,74,1
2012,making,74,1
2012,android,72,1
2012,industry,71,0
2012,entrepreneurs,71,1
2012,series,70,1
2012,through,69,1
2012,facebook,68,1
2012,between,68,1
2012,system,67,0
2012,coming,67,1
2012,everything,66,0
2012,content,66,1
2012,networks,65,0
2012,thought,65,1
2012,gotham,65,0
2012,someone,65,0
2012,looking,64,0
2012,course,63,0
2012,experience,63,1
2012,started,63,1
2012,comments,63,1
2012,employees,62,1
2012,startups,62,1
2012,investments,61,0
2012,believe,61,1
2012,create,60,1
2012,balance,60,0
2012,venture,60,1
2012,control,60,0
2012,can39t,59,1
2012,family,59,1
2012,feature,58,0
2012,financial,57,0
2012,without,56,1
2012,doesn39t,54,1
2012,particularly,53,1
2012,others,53,1
2012,friends,53,1
2012,interesting,52,1
2012,talent,52,0
2012,second,52,1
2012,enough,52,1
2012,return,51,0
2012,understand,51,1
2012,become,51,0
2012,simple,51,0
2012,disqus,51,0
2012,office,50,1
2012,technology,50,1
2012,thinking,50,1
2012,having,50,0
2013,business,236,1
2013,company,216,1
2013,people,203,1
2013,things,174,1
2013,mobile,156,1
2013,companies,154,1
2013,don39t,148,1
2013,because,142,1
2013,something,125,1
2013,should,119,1
2013,better,110,1
2013,around,105,1
2013,product,104,1
2013,market,103,1
2013,really,102,1
2013,community,95,1
2013,google,92,1
2013,that39s,91,1
2013,important,90,1
2013,everyone,88,1
2013,twitter,86,1
2013,yesterday,85,1
2013,getting,83,1
2013,android,81,1
2013,portfolio,79,1
2013,internet,75,1
2013,before,74,1
2013,entrepreneurs,72,1
2013,software,70,0
2013,school,67,1
2013,comments,66,1
2013,service,62,1
2013,capital,62,1
2013,startup,61,1
2013,public,61,1
2013,revenue,61,1
2013,can39t,60,1
2013,making,59,1
2013,called,59,1
2013,thinking,59,1
2013,coming,56,1
2013,investors,56,1
2013,working,55,1
2013,partner,55,0
2013,through,55,1
2013,between,55,1
2013,bitcoin,54,0
2013,another,53,1
2013,gotham,52,1
2013,always,52,1
2013,system,50,1
2013,thought,50,1
2013,feature,49,1
2013,morning,49,0
2013,possible,49,0
2013,number,48,1
2013,others,48,1
2013,social,47,1
2013,become,47,1
2013,person,47,1
2013,started,47,1
2013,together,47,0
2013,believe,46,1
2013,change,46,0
2013,investment,46,1
2013,network,44,1
2013,schools,44,0
2013,project,44,0
2013,comment,44,0
2013,investments,43,1
2013,friend,43,0
2013,create,43,1
2013,venture,43,1
2013,interesting,42,1
2013,someone,42,1
2013,almost,42,0
2013,likely,41,0
2013,experience,41,1
2013,entrepreneur,41,0
2013,enough,41,1
2013,without,41,1
2013,services,40,1
2013,different,40,0
2013,taking,40,0
2013,startups,40,1
2013,online,39,1
2013,kickstarter,39,0
2013,figure,39,0
2013,systems,38,0
2013,partners,38,0
2013,foursquare,38,0
2013,anyone,38,0
2013,support,37,0
2013,second,37,1
2013,disqus,37,1
2013,meeting,36,0
2013,friday,36,0
2013,please,35,0
2013,phones,35,0
2013,management,35,1
2004,business,269,1
2004,people,227,1
2004,really,191,1
2004,because,181,1
2004,should,155,1
2004,called,143,1
2004,venture,140,1
2004,better,136,1
2004,company,134,1
2004,technology,125,1
2004,something,124,1
2004,market,114,1
2004,internet,105,1
2004,service,100,1
2004,things,99,1
2004,companies,98,1
2004,interesting,97,1
2004,getting,97,1
2004,morning,97,1
2004,around,96,1
2004,doesnt,91,1
2004,digital,90,1
2004,before,88,1
2004,always,86,1
2004,blogging,85,1
2004,record,84,0
2004,capital,83,1
2004,search,83,1
2004,google,82,1
2004,through,79,1
2004,system,77,1
2004,friend,77,1
2004,gotham,73,0
2004,everyone,72,0
2004,theres,72,1
2004,street,71,1
2004,favorite,70,0
2004,probably,68,1
2004,important,68,1
2004,friends,66,0
2004,comments,64,1
2004,pretty,63,1
2004,another,62,1
2004,believe,60,0
2004,number,59,0
2004,reading,59,0
2004,change,58,0
2004,couple,58,0
2004,started,58,0
2004,country,57,1
2004,making,57,1
2004,jarvis,55,1
2004,someone,55,1
2004,issues,53,1
